Title,Description,PriceStable,InStock,SellerPincode,CustomerPincode,ShippingDays,PredictedVisibility
Godrej Refrigerator EDGE 205B WRF,"The Godrej EDGE 205B WRF is a direct cool single door refrigerator with 190 L capacity. It features toughened glass shelves, a large vegetable tray, inverter compressor for energy efficiency, and a clean back for safety. This fridge offers an ideal solution for small families with fast cooling and stabilizer-free operation.",1,1,560001,122001,4,High
Whirlpool Refrigerator 205 WDE CLS,"This 190 L direct-cool single-door refrigerator from Whirlpool offers insulated capillary technology, a chiller tray, and a large vegetable crisper. It features a crescent door design, honeycomb moisture lock-in technology, and stabilizer-free operation. Perfect for small families needing efficient cooling and durable storage.",1,1,110001,600001,5,High
Haier Direct Cool Single Door Refrigerator HED-171RS-P,"The Haier HED-171RS-P is a 170L direct cool refrigerator ideal for small households. It offers a sleek design with a base drawer, anti-fungal gasket, and quick ice-making technology. Energy-efficient and compact, this fridge provides optimal cooling and fresh food storage in tight spaces.",1,1,122001,600001,4,High
Symbol Premium Polyester Black Dress,"This stylish black knee-length dress from Symbol is made from premium polyester, ideal for casual or semi-formal outings. It features a round neck, short sleeves, and a flattering silhouette with excellent stitching and finish. The fabric is lightweight and machine-washable, making it both comfortable and low-maintenance.",0,1,400001,560001,3,Medium
ANNI DESIGNER DEEKSHA RED Kurta,"ANNI DESIGNER's DEEKSHA RED straight kurta for women is crafted from rayon with a round neck and printed design. Ideal for ethnic and festive occasions, it features side slits and 3/4 sleeves for a comfortable, breathable fit. Comes in a vibrant red shade with traditional charm.",1,1,400001,110001,3,High
ProV Select Almond 1Kg,"ProV Select offers premium quality almonds in a hygienically packed 1kg pouch. These are nutrient-rich, high-protein almonds ideal for snacking or adding to breakfast meals. They are non-GMO and packed without preservatives, ensuring freshness and taste.",1,1,560001,110001,4,High
UMED MART NATURALS Nachani Chips,"UMED MART NATURALS presents Nachani (Ragi) handmade chips that are gluten-free, rich in fiber, and traditionally sun-dried. These crunchy snacks are made using minimal oil and no preservatives. Ideal for health-conscious snackers.",1,1,110001,700001,4,Medium
Dark Fantasy Choco Fills 300g,"Sunfeast's Dark Fantasy Choco Fills are indulgent, molten chocolate-filled cookies that offer a rich, dessert-like experience. Each cookie is individually packed for freshness. A perfect sweet snack for chocolate lovers. Comes in a 300g pack.",1,1,700001,122001,4,High
Farmley Premium Pistachios & Cashewnuts Combo,"Farmley combo pack includes premium roasted & salted pistachios and whole cashew nuts. Ideal for gifting or daily snacking, these are vacuum-packed for freshness. A rich source of protein and good fats, perfect for health enthusiasts.",1,1,560001,600001,2,High
Cosmetics Enriched Lightweight Foundation B07-05,This lightweight multipurpose foundation blends smoothly on all skin tones. It is enriched with natural ingredients and provides medium coverage with a matte finish. Perfect for everyday wear and suitable for all skin types.,1,1,500001,560001,2,Medium
Maybelline Hypercurl Mascara Waterproof Black,"Maybelline Hypercurl Waterproof Mascara offers long-lasting curl and volume for your lashes. Its waterproof formula ensures all-day wear. The easy-grip brush makes application quick and smudge-free, ideal for daily makeup routines.",1,1,110001,122001,1,High
Scotch-Brite Bathroom Scrubber Brush Green,Scotch-Brite’s bathroom brush features an ergonomic handle and stiff bristles for deep cleaning of tiles and floor. It is durable and rust-free. The compact size makes it easy to reach corners and grout lines. Ideal for home cleaning.,1,1,110001,400001,3,High
